2026-04-24 01:17:15.520 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-24 01:17:20.464 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-24 01:17:20.848 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6bf54260
2026-04-24 01:17:20.851 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-24 01:17:21.264 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-04-24 01:17:21.267 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-04-24 01:17:22.918 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-24 01:17:23.004 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-24 01:17:23.760 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-24 01:17:23.881 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 7dc32d37-4be6-46f0-82f8-69cbf9352fcb

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-04-24 01:17:23.897 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-04-24 01:17:25.156 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2026-04-24 01:17:25.221 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-04-24 01:17:25.261 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-04-24 01:17:25.300 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-04-24 01:17:25.305 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-04-24 01:17:25.314 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-04-24 01:17:25.315 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-04-24 01:17:25.824 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2026-04-24 01:17:25.827 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-04-24 01:17:25.836 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-04-24 01:17:25.840 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1776973645837 with initial instances count: 1
2026-04-24 01:17:25.845 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application ADMIN-SERVICE with eureka with status UP
2026-04-24 01:17:25.846 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1776973645846, current=UP, previous=STARTING]
2026-04-24 01:17:25.848 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ADMIN-SERVICE/admin-service:8083: registering service...
2026-04-24 01:17:25.848 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2026-04-24 01:17:25.876 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8083 (http) with context path '/'
2026-04-24 01:17:25.878 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8083
2026-04-24 01:17:25.895 [main] INFO  h.m.admin.AdminServiceApplication - Started AdminServiceApplication in 11.367 seconds (process running for 12.23)
2026-04-24 01:17:25.906 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ADMIN-SERVICE/admin-service:8083 - registration status: 204
2026-04-24 01:22:25.334 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
